# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 2.61735e-30
100 0.421628
200 0.621357
300 0.877006
400 1.50647
500 1.78054
600 1.84376
700 2.04345
800 2.24835
900 2.77152
1000 3.09607
1100 3.37739
1200 3.04686
1300 3.55511
1400 3.66607
1500 3.95687
1600 4.37042
1700 4.24345
1800 4.68025
1900 4.5547
2000 5.22746
2100 6.02655
2200 6.30323
2300 6.57052
2400 6.84599
2500 6.97825
2600 6.98232
2700 7.45596
2800 7.37841
2900 7.30383
3000 7.67384
3100 7.3923
3200 8.02697
3300 8.0642
3400 8.62665
3500 8.81236
3600 8.67888
3700 9.31872
3800 9.58037
3900 10.4287
4000 10.3757
4100 10.4519
4200 10.9924
4300 10.9829
4400 11.3525
4500 11.8314
4600 12.0533
4700 12.1024
4800 11.9769
4900 12.3601
5000 12.1244
5100 12.0295
5200 12.2596
5300 12.3882
5400 12.479
5500 12.6145
5600 13.0728
5700 13.4061
5800 13.279
5900 13.2075
6000 13.2518
6100 12.7931
6200 12.7449
6300 13.1831
6400 13.465
6500 13.4027
6600 14.2182
6700 14.2913
6800 14.6432
6900 15.2102
7000 15.9131
7100 16.224
7200 16.6929
7300 16.9895
7400 17.452
7500 17.0681
7600 17.7115
7700 17.4389
7800 17.6229
7900 17.6753
8000 17.8906
8100 17.1247
8200 17.3326
8300 16.9255
8400 17.6177
8500 17.8171
8600 18.3493
8700 18.3242
8800 18.7834
8900 19.0192
9000 18.9547
9100 18.8729
9200 18.7699
9300 18.6944
9400 19.8606
9500 20.3242
9600 20.0823
9700 20.4019
9800 20.586
9900 21.4026
10000 21.6668
10100 22.2059
10200 21.9143
10300 21.9058
10400 22.1204
10500 21.4519
10600 21.9995
10700 21.6982
10800 21.8365
10900 22.1236
11000 22.3962
11100 22.4569
11200 22.2054
11300 22.3027
11400 22.4989
11500 23.3643
11600 23.2588
11700 23.3274
11800 23.7564
11900 23.6592
12000 23.7273
12100 23.0608
