# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 3.62354e-29
100 0.351714
200 0.474842
300 0.626174
400 0.748724
500 0.684196
600 0.825816
700 0.920003
800 1.00889
900 1.03805
1000 1.3054
1100 1.59396
1200 1.50446
1300 1.45981
1400 1.54518
1500 1.63416
1600 1.74563
1700 1.75731
1800 1.75125
1900 1.88627
2000 1.888
2100 1.89945
2200 2.23743
2300 2.31665
2400 2.44003
2500 2.46451
2600 2.47635
2700 2.56488
2800 2.58064
2900 2.57081
3000 2.84256
3100 2.99879
3200 3.13278
3300 3.19396
3400 3.28546
3500 3.40373
3600 3.38209
3700 3.35837
3800 3.31251
3900 3.30418
4000 3.37051
4100 3.57474
4200 3.79179
4300 3.72722
4400 3.94102
4500 4.11226
4600 4.2705
4700 4.34497
4800 4.48485
4900 4.56823
5000 4.64329
5100 4.63822
5200 4.57605
5300 4.61887
5400 4.54429
5500 4.61004
5600 4.69968
5700 4.70816
5800 4.66799
5900 4.87187
6000 4.97422
6100 5.23947
6200 5.38463
6300 5.44174
6400 5.37488
6500 5.27682
6600 5.17322
6700 5.26854
6800 5.11878
6900 5.25242
7000 5.52279
7100 5.57317
7200 5.76954
7300 5.68451
7400 5.92191
7500 6.06135
7600 6.07447
7700 6.18302
7800 6.32056
7900 6.38856
8000 6.4576
8100 6.45154
8200 6.35447
8300 6.40193
8400 6.52312
8500 6.5183
8600 6.8458
8700 6.98838
8800 6.98617
8900 7.25909
9000 7.0772
9100 7.01934
9200 7.00656
9300 7.08751
9400 7.4998
9500 7.42879
9600 7.75432
9700 7.7699
9800 7.53384
9900 7.53831
10000 7.59553
10100 7.45684
10200 7.86865
10300 7.59675
10400 7.7206
10500 7.97749
10600 7.83677
10700 8.22627
10800 8.53055
10900 9.33354
11000 9.35471
11100 9.46256
11200 9.26525
11300 9.45316
11400 9.54217
11500 9.49732
11600 9.48354
11700 9.70212
11800 9.90419
11900 10.0396
12000 9.67754
12100 9.64754
12200 9.67457
12300 9.67092
12400 10.1691
12500 10.2902
12600 9.96577
12700 9.90572
12800 10.1951
12900 10.6074
13000 10.7192
13100 10.7131
13200 10.7066
13300 10.9365
13400 10.6549
13500 10.8643
13600 11.3648
13700 11.5508
13800 11.5986
13900 11.5407
14000 11.5722
14100 11.7943
14200 11.6712
14300 11.6322
14400 11.7354
14500 12.0717
14600 12.0018
14700 11.5983
14800 11.7521
14900 12.1263
15000 11.8994
15100 11.7372
15200 11.972
15300 12.2098
15400 12.2935
15500 12.0955
15600 12.1551
15700 12.307
15800 12.4873
15900 12.8615
16000 13.0804
16100 13.1306
16200 13.384
16300 13.5186
16400 13.7768
16500 14.0182
16600 14.1629
16700 13.5949
16800 13.8563
16900 13.5125
17000 13.7554
17100 13.6286
17200 13.4314
17300 13.9624
17400 14.0165
17500 13.3725
17600 13.7489
17700 13.5222
17800 13.3624
17900 13.8335
18000 14.0038
18100 14.0059
18200 13.7824
18300 14.4949
18400 14.1475
18500 14.4157
18600 14.894
18700 15.4989
18800 15.8127
18900 15.7265
19000 16.2208
19100 16.0338
19200 16.2843
19300 16.4594
19400 16.0936
19500 16.088
19600 16.2633
19700 16.5895
19800 16.627
19900 16.8578
20000 16.8017
20100 16.9655
20200 17.3685
20300 17.6911
20400 17.6352
20500 17.5568
20600 17.3837
20700 17.9969
20800 17.7476
20900 17.7766
21000 18.2756
21100 18.2262
21200 17.7756
21300 18.2964
21400 18.1109
21500 17.9381
21600 18.3373
21700 18.4025
21800 18.9148
21900 19.1294
22000 19.4103
22100 19.1822
22200 19.6123
22300 19.5871
22400 19.8451
22500 19.9292
22600 19.9754
22700 20.5536
22800 21.2146
22900 21.0082
23000 21.2902
23100 21.4327
23200 21.6884
23300 21.944
23400 22.5435
23500 22.419
23600 22.708
23700 23.0552
23800 22.9658
23900 22.8077
24000 22.8006
24100 23.3032
24200 23.6272
24300 23.9826
24400 23.3806
24500 24.151
24600 23.7828
24700 23.5432
24800 23.9763
24900 24.3774
25000 23.8906
25100 23.9904
25200 24.2956
25300 24.0192
25400 24.4357
25500 25.0287
25600 25.0151
25700 25.3568
25800 25.1939
25900 25.1241
26000 25.4152
26100 25.5394
26200 25.7849
26300 25.9347
26400 26.0179
26500 26.4745
26600 27.5394
26700 27.7575
26800 27.8964
26900 28.2516
27000 28.5847
27100 28.06
27200 28.1335
27300 28.8343
27400 28.6364
27500 28.7899
27600 28.6236
27700 28.9196
27800 29.0173
27900 30.2414
28000 30.2093
28100 30.3151
28200 30.5254
28300 30.1874
28400 30.5279
28500 30.1984
28600 30.8975
28700 31.0803
28800 31.1714
28900 31.2378
29000 31.4717
29100 32.0315
29200 32.1602
29300 31.9571
29400 32.2749
29500 32.3667
29600 32.4458
29700 32.2892
29800 31.8679
29900 32.524
30000 33.0256
30100 33.035
30200 34.0693
30300 33.5934
30400 34.4626
30500 34.4221
30600 34.366
30700 34.0366
30800 34.3061
30900 34.1785
31000 33.9971
31100 34.1734
31200 34.504
31300 34.0485
31400 34.2513
31500 34.4134
31600 33.5069
31700 33.7743
31800 33.7964
31900 34.4584
32000 33.6438
32100 34.0312
32200 33.8939
32300 34.2006
32400 34.1491
32500 34.2155
32600 34.2487
32700 34.5258
32800 35.3973
32900 35.0187
33000 34.0559
33100 34.8067
33200 35.2519
33300 36.1551
33400 35.8144
33500 36.1731
33600 36.3892
33700 36.6058
33800 36.7727
33900 36.2439
34000 36.7603
34100 36.9091
34200 36.6105
34300 37.4328
34400 37.7192
34500 36.8378
34600 35.9671
34700 35.8273
34800 35.5266
34900 35.9829
35000 36.0817
35100 37.0811
35200 36.8688
35300 37.8031
35400 36.93
35500 36.8279
35600 36.8493
35700 36.7567
35800 37.4548
35900 37.5926
36000 37.9461
36100 37.813
36200 38.948
36300 38.7177
36400 38.6217
36500 38.5371
36600 38.9727
36700 38.985
36800 38.9004
36900 38.9798
37000 40.1329
37100 40.7678
37200 40.2618
37300 40.6131
37400 41.1125
37500 41.8126
37600 41.5508
37700 42.0154
37800 42.4786
37900 42.1727
38000 42.5066
38100 43.1284
38200 41.928
38300 42.2053
38400 42.3457
38500 42.7942
38600 42.9172
38700 42.5098
38800 42.7498
38900 42.6206
39000 42.7782
39100 43.1383
39200 43.3328
39300 42.9637
39400 43.7877
39500 44.065
39600 44.0656
39700 44.1476
39800 44.1521
39900 44.662
40000 44.7776
40100 44.9763
40200 45.3459
40300 45.089
40400 45.9731
40500 46.1729
40600 45.7166
40700 45.0525
40800 45.1019
40900 45.464
41000 45.515
41100 45.0844
41200 45.1284
41300 44.5649
41400 44.7014
41500 44.7653
41600 44.6178
41700 44.1143
41800 44.4025
41900 44.2245
42000 44.4781
42100 44.5735
42200 44.0783
42300 44.4154
42400 45.121
42500 44.3954
42600 45.0347
42700 44.9453
42800 44.8124
42900 44.7677
43000 45.2232
43100 45.3869
43200 45.8872
43300 45.2153
43400 44.9513
43500 44.9242
43600 45.1673
43700 44.9698
43800 45.3676
43900 45.3969
44000 46.5224
44100 45.9917
44200 46.3454
44300 46.4314
44400 46.6333
44500 45.8352
44600 45.5297
44700 45.0422
44800 45.2388
44900 44.9423
45000 45.2027
45100 45.6637
45200 45.0925
45300 45.4595
45400 45.9065
45500 44.9379
45600 45.5084
45700 45.1987
45800 46.2399
45900 46.0311
46000 45.8104
46100 46.4618
46200 46.5599
46300 46.6775
46400 46.8694
46500 47.111
46600 47.7904
46700 49.0118
46800 48.6419
46900 49.1113
47000 49.0081
47100 49.0099
47200 48.9288
47300 49.3483
47400 48.9599
47500 49.2256
47600 49.5412
47700 49.948
47800 50.0764
47900 49.9837
48000 49.8618
48100 51.2236
48200 51.3369
48300 50.9081
48400 51.7015
48500 52.3787
48600 51.1625
48700 51.7498
48800 51.75
48900 51.7811
49000 52.2909
49100 52.3477
49200 52.3238
49300 53.0869
49400 53.1096
49500 52.9088
49600 53.3388
49700 53.1405
49800 54.1536
49900 53.9224
50000 53.1466
