# Time-averaged data for fix energy
# TimeStep v_k v_e v_t v_T
100 52.2844 -6353.52 -6301.24 243.083
150 58.6811 -6360.63 -6301.94 272.823
200 62.8057 -6352.35 -6289.54 291.999
250 63.9387 -6348.22 -6284.28 297.267
300 68.2525 -6340.29 -6272.03 317.322
350 69.6283 -6330.06 -6260.43 323.719
400 74.4137 -6333.58 -6259.16 345.967
450 75.1126 -6329.88 -6254.77 349.216
500 81.7866 -6332.28 -6250.5 380.246
550 85.8152 -6326.52 -6240.71 398.976
600 89.3887 -6326.1 -6236.71 415.59
650 91.0144 -6325.1 -6234.08 423.148
700 92.5989 -6322.93 -6230.33 430.515
750 96.4957 -6319 -6222.51 448.632
800 100.046 -6313.43 -6213.39 465.136
850 102.372 -6314.48 -6212.11 475.954
900 100.596 -6306.48 -6205.89 467.697
950 103.565 -6303.78 -6200.22 481.499
1000 106.58 -6294.71 -6188.13 495.516
1050 107.059 -6292.59 -6185.53 497.743
1100 106.57 -6294.97 -6188.4 495.47
1150 108.896 -6292.54 -6183.65 506.285
1200 114.898 -6296.55 -6181.65 534.187
1250 116.157 -6293.02 -6176.86 540.04
1300 117.216 -6300.21 -6182.99 544.965
1350 114.427 -6294.14 -6179.71 531.999
1400 118.612 -6296.78 -6178.17 551.454
1450 122.505 -6291.66 -6169.16 569.554
1500 124.785 -6288.44 -6163.66 580.153
1550 123.945 -6286.58 -6162.63 576.249
1600 121.352 -6280.98 -6159.62 564.197
1650 124.914 -6278 -6153.08 580.755
1700 125.689 -6269.96 -6144.27 584.358
1750 125.06 -6270.91 -6145.85 581.432
1800 123.794 -6272.33 -6148.54 575.548
1850 127.814 -6272.74 -6144.92 594.236
1900 132.847 -6274.22 -6141.37 617.638
1950 133.194 -6276.56 -6143.36 619.251
2000 132.951 -6280.05 -6147.1 618.121
2050 130.644 -6277.04 -6146.4 607.395
2100 134.067 -6279.37 -6145.31 623.312
2150 136.072 -6275.32 -6139.25 632.63
2200 137.396 -6274.88 -6137.49 638.787
2250 132.882 -6270.15 -6137.27 617.801
2300 133.356 -6268.15 -6134.79 620.005
2350 136.069 -6261.61 -6125.54 632.616
2400 136.948 -6258.22 -6121.27 636.703
2450 134.164 -6259.64 -6125.48 623.759
2500 132.917 -6260.23 -6127.31 617.965
2550 135.832 -6263.3 -6127.47 631.515
2600 141.198 -6263.43 -6122.24 656.462
2650 142.818 -6269.28 -6126.46 663.993
2700 140.288 -6268.78 -6128.49 652.233
2750 138.937 -6266.45 -6127.52 645.953
2800 143.64 -6269.1 -6125.46 667.815
2850 144.545 -6266.45 -6121.9 672.025
2900 144.071 -6264.85 -6120.78 669.82
2950 138.45 -6259.38 -6120.93 643.687
3000 141.792 -6259.15 -6117.36 659.223
3050 142.453 -6252.73 -6110.28 662.298
3100 142.187 -6248.73 -6106.54 661.061
3150 139.427 -6249.41 -6109.98 648.23
3200 139.835 -6251.82 -6111.99 650.128
3250 144.157 -6253.42 -6109.26 670.22
3300 148.994 -6256.68 -6107.69 692.711
3350 149.137 -6259.47 -6110.33 693.372
3400 144.684 -6259.3 -6114.62 672.672
3450 146.192 -6262.01 -6115.81 679.683
3500 147.347 -6259.79 -6112.44 685.054
3550 150.514 -6259.32 -6108.81 699.776
3600 148.258 -6260.51 -6112.25 689.289
3650 142.362 -6253.8 -6111.44 661.876
3700 143.895 -6253.39 -6109.49 669.001
3750 144.947 -6249.58 -6104.64 673.894
3800 145.7 -6247.61 -6101.91 677.392
3850 141.999 -6249.16 -6107.16 660.187
3900 142.607 -6248.17 -6105.56 663.015
3950 146.542 -6251.62 -6105.08 681.31
4000 151.039 -6255.75 -6104.71 702.217
