# Time-averaged data for fix msdout
# TimeStep c_msd_adatom[4]
1000 0.216021
2000 0.456696
3000 3.27388
4000 1.39532
5000 0.535827
6000 0.508719
7000 0.476318
8000 3.212
9000 4.38322
10000 4.54895
11000 4.56739
12000 4.70243
13000 4.59229
14000 4.51261
15000 4.52178
16000 4.52086
17000 4.67466
18000 4.59831
19000 4.80897
20000 4.66776
21000 4.62582
22000 4.63125
23000 4.4885
24000 4.82358
25000 4.60456
26000 4.6223
27000 4.41946
28000 4.80485
29000 4.52739
30000 4.76268
31000 4.51397
32000 4.78139
33000 4.66993
34000 4.59632
35000 4.64544
36000 4.6312
37000 4.63041
38000 4.45246
39000 4.5868
40000 4.51667
41000 4.8746
42000 4.58743
43000 4.57292
44000 4.67824
45000 4.8289
46000 4.78677
47000 4.4931
48000 4.76273
49000 4.54779
50000 4.57306
