# Time-averaged data for fix msdout
# TimeStep c_msd_adatom[4]
1000 0.288871
2000 0.297118
3000 0.313742
4000 0.930356
5000 6.74733
6000 6.06342
7000 6.11743
8000 6.65266
9000 6.97833
10000 6.71842
11000 6.3207
12000 7.32624
13000 6.31136
14000 7.02231
15000 6.52446
16000 6.54958
17000 6.20144
18000 6.691
19000 6.22622
20000 6.04855
21000 6.32101
22000 6.4287
23000 6.52376
24000 6.23398
25000 6.36766
26000 6.52503
27000 6.94853
28000 6.98951
29000 5.95948
30000 6.21275
31000 6.65656
32000 6.42637
33000 6.86655
34000 6.82837
35000 6.36869
36000 6.94304
37000 6.63231
38000 6.42527
39000 6.4325
40000 6.82104
41000 6.43164
42000 6.54126
43000 6.30875
44000 6.7296
45000 6.04596
46000 6.00383
47000 6.19756
48000 6.23726
49000 6.02751
50000 6.51239
