# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 7.93667e-29
100 0.433534
200 0.537731
300 0.72552
400 0.734414
500 0.887127
600 0.924149
700 1.22224
800 1.34404
900 1.34458
1000 1.74951
1100 1.76836
1200 1.56806
1300 1.63178
1400 1.95181
1500 1.8833
1600 1.98466
1700 2.12664
1800 2.29191
1900 2.34393
2000 2.4311
2100 2.54032
2200 2.50624
2300 2.64695
2400 2.79551
2500 3.02782
2600 3.1572
2700 3.23226
2800 3.18457
2900 3.40429
3000 3.54616
3100 3.59167
3200 3.48788
3300 3.79637
3400 3.71985
3500 3.74014
3600 3.76246
3700 3.84457
3800 3.64717
3900 3.71995
4000 3.83416
4100 3.98608
4200 4.00099
4300 4.11436
4400 4.27514
4500 4.15566
4600 4.40278
4700 4.56561
4800 4.50296
4900 4.98229
5000 5.19124
5100 4.95408
5200 4.9562
5300 4.97118
5400 4.94923
5500 5.09972
5600 5.23397
5700 5.42386
5800 5.70797
5900 5.68724
6000 5.81607
6100 5.98977
6200 6.04032
6300 6.29684
6400 6.47403
6500 6.31608
6600 6.27727
6700 6.17702
6800 6.16321
6900 6.21709
7000 6.36057
7100 6.3937
7200 6.76527
7300 6.54845
7400 6.67052
7500 6.77349
7600 6.78064
7700 6.72714
7800 6.86282
7900 6.80313
8000 6.70946
8100 6.94397
8200 7.11443
8300 7.37606
8400 7.18565
8500 7.49933
8600 7.34487
8700 7.51381
8800 7.84109
8900 7.9548
9000 7.9355
9100 7.72795
9200 7.63723
9300 7.60047
9400 7.85043
9500 7.80119
9600 7.84559
9700 7.91383
9800 7.98061
9900 8.0451
10000 8.23985
10100 7.92773
10200 8.1552
10300 8.17994
10400 8.45509
10500 8.18343
10600 8.40698
10700 8.55146
10800 8.56453
10900 8.74
11000 8.53393
11100 8.91546
11200 9.33812
11300 9.06575
11400 9.08157
11500 8.81455
11600 8.90321
11700 9.10881
11800 9.29825
11900 9.22617
12000 9.1674
12100 9.34881
12200 9.64219
12300 9.57344
12400 9.22358
12500 9.5854
12600 9.80412
12700 9.64695
12800 9.60968
12900 9.96371
13000 10.513
13100 10.1125
13200 9.95491
13300 10.4129
13400 10.6447
13500 10.4811
13600 10.1326
13700 10.3464
13800 10.5447
13900 10.6772
14000 10.7824
14100 10.4797
14200 10.1291
14300 10.7533
14400 10.6467
14500 11.0572
14600 11.0625
14700 11.305
14800 11.2688
14900 11.3437
15000 11.8518
15100 12.0526
15200 12.0135
15300 12.6915
15400 12.9543
15500 13.0888
15600 13.0611
15700 13.7362
15800 14.2268
15900 14.3515
16000 14.4844
16100 14.2547
16200 14.198
16300 13.997
16400 14.0403
16500 14.3886
16600 14.3177
16700 14.368
16800 14.4739
16900 14.6956
17000 14.7235
17100 14.6704
17200 14.878
17300 14.7116
17400 14.5896
17500 14.5046
17600 14.4904
17700 14.686
17800 14.9967
17900 15.0595
18000 14.9051
18100 14.8786
18200 14.8093
18300 14.9926
18400 14.8111
18500 15.1032
18600 15.2161
18700 15.4482
18800 15.7997
18900 15.7435
19000 16.1806
19100 15.9387
19200 15.9566
19300 16.2122
19400 16.4246
19500 16.6901
19600 16.8821
19700 17.0857
19800 17.3812
19900 17.393
20000 17.3847
20100 17.1612
20200 17.2393
20300 16.9386
20400 16.6986
20500 16.9723
20600 17.2927
20700 17.0967
20800 17.4871
20900 17.3513
21000 17.7766
21100 18.4435
21200 18.587
21300 18.5351
21400 18.8117
21500 18.3215
21600 18.6442
21700 18.8072
21800 18.6193
21900 18.8564
22000 19.2918
22100 18.7032
22200 18.7799
22300 18.9399
22400 19.176
22500 18.6209
22600 19.1021
22700 19.4491
22800 19.2639
22900 19.8489
23000 19.8384
23100 19.6219
23200 19.9312
